Timestamp,ANS,Answers
10/20/21 21:58,6 hrs,6.0
10/20/21 22:00,12 hrs,12.0
10/20/21 22:04,1 hrs,1.0
10/20/21 22:04,5hrs,5.0
10/20/21 22:17,7hrs,7.0
10/20/21 22:19,6hrs,6.0
10/20/21 22:21,8hrs,8.0
10/20/21 22:22,3hrs,3.0
10/20/21 22:23,8hrs,8.0
10/20/21 22:27,10hrs,10.0
10/20/21 22:27,5hrs,5.0
10/20/21 22:34,10hrs,10.0
10/20/21 22:39,9hrs,9.0
10/20/21 23:03,5hrs,5.0
10/20/21 23:06,7hrs,7.0
10/20/21 23:17,6hrs,6.0
10/20/21 23:33,8hrs,8.0
10/20/21 23:51,2hrs,2.0
10/21/21 0:00,4hrs,4.0
10/21/21 0:17,6hrs,6.0
10/21/21 0:26,7hrs,7.0
10/21/21 0:50,6hrs,6.0
10/21/21 1:08,4hrs,4.0
10/21/21 1:14,9hrs,9.0
10/21/21 1:14,4hrs,4.0
10/21/21 1:16,7hrs,7.0
10/21/21 1:23,7hrs,7.0
10/21/21 1:36,7hrs,7.0
10/21/21 1:59,5hrs,5.0
10/21/21 2:00,12+hrs,5.0
10/21/21 2:08,4hrs,4.0
10/21/21 2:08,3hrs,3.0
10/21/21 2:36,8hrs,8.0
10/21/21 2:38,7hrs,7.0
10/21/21 3:28,7hrs,7.0
10/21/21 3:40,10hrs,10.0
10/21/21 5:00,3hrs,3.0
10/21/21 5:14,5hrs,5.0
10/21/21 5:21,6hrs,6.0
10/21/21 5:58,3hrs,3.0
10/21/21 7:26,2hrs,2.0
10/21/21 8:05,1hrs,1.0
10/21/21 8:06,4hrs,4.0
10/21/21 8:12,4hrs,4.0
10/21/21 8:20,3hrs,3.0
10/21/21 8:43,3hrs,3.0
10/21/21 9:07,3hrs,3.0
10/21/21 9:38,4hrs,4.0
10/21/21 10:12,6hrs,6.0
10/21/21 10:22,3hrs,3.0
10/21/21 10:24,3hrs,3.0
10/21/21 10:30,6hrs,6.0
10/21/21 11:01,6hrs,6.0
10/21/21 11:01,7hrs,7.0
10/21/21 11:09,5hrs,5.0
10/21/21 12:05,5hrs,5.0
10/21/21 12:16,8hrs,8.0
10/21/21 12:48,8hrs,8.0
10/21/21 13:44,6hrs,6.0
10/21/21 13:58,4hrs,4.0
10/21/21 14:00,3hrs,3.0
10/21/21 14:03,7hrs,7.0
10/21/21 14:06,10hrs,10.0
10/21/21 14:06,5hrs,5.0
10/21/21 14:12,3hrs,3.0
10/21/21 14:32,7hrs,7.0
10/21/21 14:38,3hrs,3.0
10/21/21 14:39,1hrs,1.0
10/21/21 14:45,5hrs,5.0
10/21/21 14:46,1hrs,1.0
10/21/21 14:47,5hrs,5.0
10/21/21 15:08,3hrs,3.0
10/21/21 15:17,6hrs,6.0
10/21/21 15:28,2hrs,2.0
10/21/21 15:40,9hrs,9.0
10/21/21 15:46,12+hrs,4.0
10/21/21 16:24,6hrs,6.0
10/21/21 16:32,10hrs,10.0
10/21/21 17:11,4hrs,4.0
10/21/21 17:23,6hrs,6.0
10/21/21 17:48,5hrs,5.0
10/21/21 18:21,4hrs,4.0
10/21/21 20:15,5hrs,5.0
10/21/21 20:36,4hrs,4.0
10/21/21 20:38,6hrs,6.0
10/21/21 21:02,9hrs,9.0
10/21/21 21:25,8hrs,8.0
10/21/21 21:42,12hrs,12.0
10/21/21 22:01,2hrs,2.0
10/21/21 22:35,7hrs,7.0
10/22/21 1:23,4hrs,4.0
10/22/21 8:02,12+hrs,6.0
10/22/21 9:32,2hrs,2.0
10/22/21 13:37,7hrs,7.0
10/22/21 23:29,4hrs,4.0
10/23/21 3:25,2hrs,2.0
10/23/21 11:35,1hrs,1.0
10/23/21 11:56,7hrs,7.0
10/23/21 17:52,5hrs,5.0
10/23/21 18:06,5hrs,5.0
10/23/21 18:59,3hrs,3.0
10/24/21 16:50,4hrs,4.0
10/25/21 8:03,6hrs,6.0
10/25/21 13:27,9hrs,9.0
10/25/21 13:32,8hrs,8.0
10/25/21 13:44,5hrs,5.0
10/25/21 13:50,5hrs,5.0
10/25/21 13:51,5hrs,5.0
10/25/21 14:25,8hrs,8.0
10/25/21 14:44,5hrs,5.0
10/25/21 14:45,7hrs,7.0
10/25/21 15:07,6hrs,6.0
10/25/21 15:13,4hrs,4.0
10/25/21 15:48,7hrs,7.0
10/25/21 16:16,9hrs,9.0
10/25/21 16:32,2hrs,2.0
10/25/21 16:54,2hrs,2.0
10/25/21 18:25,4hrs,4.0
10/26/21 17:05,4hrs,4.0
10/27/21 6:38,4hrs,4.0
10/27/21 17:09,5hrs,5.0
10/28/21 9:39,8hrs,8.0
10/28/21 9:40,2hrs,2.0
10/28/21 9:45,6hrs,6.0
10/28/21 9:46,11hrs,11.0
